planeID 	 Status 	 Request-Time 	 Runway-Time 	 Turnaround-Time
_________________________________________________________________________________________________________
1 		 L 		 0 		 2		 2
2 		 D 		 0 		 12		 12
3 		 L 		 1 		 4		 3
4 		 D 		 1 		 14		 13
5 		 L 		 3 		 6		 3
6 		 D 		 3 		 18		 15
7 		 L 		 5 		 8		 3
8 		 D 		 5 		 20		 15
9 		 L 		 6 		 10		 4
10 		 D 		 6 		 24		 18
11 		 L 		 9 		 16		 7
12 		 D 		 9 		 26		 17
13 		 L 		 11 		 22		 11
14 		 D 		 11 		 30		 19
15 		 L 		 13 		 28		 15
16 		 D 		 13 		 32		 19
17 		 L 		 14 		 34		 20
18 		 D 		 14 		 36		 22
19 		 L 		 16 		 40		 24
20 		 D 		 16 		 38		 22
21 		 L 		 17 		 46		 29
22 		 D 		 17 		 42		 25
23 		 L 		 18 		 52		 34
24 		 D 		 18 		 48		 30
25 		 L 		 21 		 58		 37
26 		 D 		 21 		 50		 29
27 		 L 		 22 		  		  
28 		 D 		 22 		 54		 32
29 		 L 		 23 		  		  
30 		 D 		 23 		 56		 33
31 		 L 		 24 		  		  
32 		 D 		 24 		 60		 36
33 		 L 		 26 		  		  
34 		 D 		 26 		  		  
35 		 L 		 27 		  		  
36 		 D 		 27 		  		  
37 		 L 		 29 		  		  
38 		 D 		 29 		  		  
39 		 L 		 31 		  		  
40 		 D 		 31 		  		  
41 		 L 		 33 		  		  
42 		 D 		 33 		  		  
43 		 L 		 34 		  		  
44 		 D 		 34 		  		  
45 		 L 		 35 		  		  
46 		 D 		 35 		  		  
47 		 L 		 38 		  		  
48 		 D 		 38 		  		  
49 		 L 		 39 		  		  
50 		 D 		 39 		  		  
51 		 E 		 40 		 44		 4
52 		 D 		 40 		  		  
53 		 L 		 42 		  		  
54 		 D 		 42 		  		  
55 		 L 		 51 		  		  
56 		 D 		 51 		  		  
57 		 L 		 54 		  		  
58 		 D 		 54 		  		  
59 		 L 		 55 		  		  
60 		 D 		 55 		  		  
61 		 L 		 56 		  		  
62 		 D 		 56 		  		  
63 		 L 		 57 		  		  
